Timesteps,AMG Class,AMG Free,CG Diag,CG Lusgs,GMRES Diag,GMRES Lusgs,CgDiagGPU,GmresDiagGPU
1,1.117,0.894,0.71,0.729,0.974,0.692,3.065,3.1
2,4.157,4.119,3.644,3.719,4.041,4.069,7.445,7.402
3,4.699,4.518,4.043,4.093,4.51,4.492,8.159,8.161
4,5.241,4.916,4.459,4.473,4.979,4.915,8.886,8.937
5,5.781,5.315,4.879,4.853,5.449,5.338,9.617,9.68
6,6.316,5.727,5.312,5.242,5.985,5.761,10.369,10.474
7,6.875,6.138,5.761,5.632,6.59,6.184,13.342,11.315
8,7.43,6.568,6.217,6.025,7.193,6.614,15.751,12.177
9,7.983,6.98,6.67,6.425,7.73,7.038,17.568,13.009
10,8.519,7.392,7.127,6.818,8.267,7.462,19.437,13.798
11,9.068,7.806,7.584,7.209,8.805,7.887,20.727,14.601
12,9.604,8.221,8.042,7.601,9.343,8.313,22.014,15.409
13,10.182,8.635,8.505,7.995,9.882,8.739,23.293,16.209
14,10.761,9.05,8.974,8.39,10.42,9.165,25.133,17.009
15,11.297,9.464,9.45,8.787,10.96,9.591,26.404,17.8
16,11.845,9.879,9.95,9.186,11.502,10.018,27.113,18.594
17,12.457,10.294,10.399,9.578,12.041,10.445,28.98,19.386
18,13.024,10.735,10.85,9.974,12.614,10.871,30.897,20.199
19,13.606,11.327,11.3,10.368,13.119,11.298,32.145,20.964
20,14.131,11.8,11.728,10.752,13.658,11.724,33.447,21.759
21,14.749,12.268,12.168,11.141,14.197,12.154,36.445,22.562
22,15.54,12.749,12.628,11.540,14.802,12.623,37.759,23.457
23,16.293,13.218,13.063,11.932,15.375,13.05,39.675,24.308
24,16.9,13.686,13.486,12.315,15.881,13.476,41.539,25.086
25,17.478,14.129,13.915,12.700,16.42,13.903,42.868,25.878
26,18.054,14.571,14.35,13.089,16.96,14.329,44.163,26.669
27,18.748,15.196,14.817,13.485,17.565,14.799,46.043,27.505
28,19.563,16.144,15.268,13.887,18.205,15.269,47.315,28.367
29,20.375,16.804,15.761,14.294,18.843,15.739,49.218,29.238
30,21.078,17.51,16.197,14.681,19.382,16.166,49.97,30.029
31,21.607,18.166,16.647,15.075,19.99,16.636,50.698,30.865
32,22.137,18.796,17.092,15.474,20.595,17.106,51.977,31.709
33,22.667,19.337,17.549,15.870,21.134,17.532,54.371,32.501
34,23.42,19.946,18.006,16.272,21.739,18.001,55.126,33.333
35,24.097,20.474,18.429,16.653,22.244,18.427,55.828,34.136
36,24.739,20.964,18.854,17.037,22.749,18.852,57.716,34.907
37,25.329,21.402,19.282,17.422,23.253,19.277,59.576,35.684
38,25.962,21.89,19.718,17.810,23.758,19.702,60.88,36.495
39,26.752,22.505,20.156,18.206,24.396,20.171,61.647,37.39
40,27.484,23.083,20.599,18.602,24.968,20.598,62.95,38.204
41,28.019,23.672,21.056,19.000,25.539,21.023,63.666,39.024
42,28.68,24.199,21.48,19.385,26.076,21.449,64.382,39.822
43,29.321,24.7,21.902,19.767,26.581,21.874,65.628,40.593
44,29.962,25.189,22.328,20.151,27.086,22.299,66.954,41.375
45,30.679,25.753,22.782,20.546,27.656,22.724,67.695,42.223
46,31.203,26.292,23.216,20.938,28.161,23.149,68.392,42.992
47,31.741,26.932,23.654,21.336,28.799,23.617,69.662,43.861
48,32.276,27.547,24.094,21.742,29.403,24.086,70.376,44.7
49,32.803,28.112,24.533,22.136,29.941,24.511,72.229,45.49
50,33.327,28.613,24.954,22.519,30.478,24.936,74.1,46.282
51,33.879,29.089,25.374,22.902,30.983,25.361,74.862,47.05
52,34.405,29.527,25.804,23.288,31.487,25.786,75.613,47.829
53,34.932,30.002,26.238,23.672,31.991,26.211,76.877,48.6
54,35.459,30.491,26.675,24.058,32.495,26.637,78.167,49.381
55,36,30.954,27.115,24.452,33.001,27.062,78.928,50.182
56,36.644,31.593,27.552,24.852,33.639,27.53,79.693,51.041
57,37.25,32.195,27.986,25.244,34.243,27.998,82.689,51.88
58,37.882,32.784,28.43,25.641,34.814,28.423,85.167,52.703
59,38.406,33.325,28.857,26.029,35.351,28.848,86.477,53.529
60,38.933,33.75,29.285,26.413,35.855,29.273,88.351,54.299
61,39.458,34.238,29.716,26.799,36.393,29.698,89.615,55.097
62,40.245,34.726,30.144,27.183,36.93,30.123,90.357,55.889
63,40.778,35.239,30.576,27.567,37.467,30.547,92.776,56.68
64,41.298,35.689,30.985,27.944,37.941,30.972,93.513,57.435
65,41.825,36.139,31.421,28.327,38.445,31.397,94.84,58.238
66,42.35,36.601,31.859,28.711,38.948,31.822,95.586,59.008
67,43.052,37.241,32.297,29.112,39.585,32.29,96.889,59.888
68,43.709,37.83,32.734,29.508,40.122,32.758,97.641,60.716
69,44.342,38.419,33.192,29.907,40.725,33.227,98.97,61.532
70,44.946,38.983,33.63,30.308,41.296,33.651,100.296,62.357
71,45.591,39.559,34.088,30.699,41.833,34.076,101.557,63.183
72,46.154,40.035,34.501,31.079,42.337,34.502,102.843,63.952
73,46.664,40.459,34.922,31.456,42.807,34.928,103.608,64.701
74,47.199,41.44,35.362,31.850,43.377,35.352,104.907,65.53
75,47.722,41.826,35.799,32.240,43.98,35.821,105.65,66.377
76,48.247,42.212,36.23,32.633,44.55,36.245,106.994,67.227
77,48.753,42.585,36.673,33.027,45.12,36.671,107.728,68.042
78,49.288,42.97,37.123,33.426,45.724,37.138,110.134,68.891
79,50.081,43.368,37.571,33.826,46.327,37.606,111.989,69.734
80,50.712,43.791,38.018,34.224,46.93,38.073,112.737,70.576
81,51.247,44.388,38.485,34.627,47.533,38.541,113.468,71.413
82,51.775,44.947,38.915,35.014,48.07,38.965,114.206,72.207
83,52.308,45.445,39.367,35.421,48.607,39.433,116.072,73
84,53.04,45.917,39.832,35.820,49.177,39.857,116.785,73.821
85,53.566,46.377,40.292,36.213,49.714,40.281,118.622,74.617
86,54.096,46.837,40.738,36.607,50.25,40.705,119.916,75.411
87,54.619,47.285,41.177,36.991,50.753,41.129,121.763,76.18
88,55.144,47.733,41.622,37.376,51.257,41.552,122.519,76.955
89,55.679,48.168,42.066,37.771,51.76,41.976,124.354,77.727
90,56.203,48.616,42.516,38.168,52.296,42.4,125.689,78.522
91,56.73,49.076,42.933,38.551,52.833,42.824,126.407,79.315
92,57.284,49.524,43.346,38.929,53.303,43.248,128.203,80.074
93,57.856,49.959,43.754,39.306,53.774,43.672,130.644,80.864
94,58.38,50.394,44.163,39.682,54.244,44.096,131.947,81.615
95,58.908,50.832,44.583,40.058,54.714,44.52,133.236,82.377
96,59.43,51.267,45.014,40.444,55.25,44.943,135.673,83.206
97,59.997,51.714,45.443,40.828,55.753,45.367,136.431,83.992
98,60.588,52.16,45.866,41.211,56.289,45.791,137.192,84.84
99,61.156,52.607,46.292,41.596,56.792,46.215,137.931,85.657
100,61.773,53.079,46.728,41.987,57.395,46.684,139.223,86.552
101,62.338,53.501,47.141,42.367,57.898,47.108,139.951,87.385
102,62.918,53.949,47.596,42.765,58.467,47.531,141.254,88.262
103,63.442,54.396,48.045,43.157,59.036,47.955,142.589,89.134
104,63.963,54.843,48.492,43.554,59.572,48.379,144.479,89.976
105,64.487,55.302,48.94,43.943,60.109,48.803,146.977,90.811
106,65.009,55.761,49.376,44.329,60.645,49.227,148.295,91.656
107,65.531,56.221,49.808,44.712,61.148,49.65,149.612,92.474
108,66.056,56.68,50.242,45.096,61.651,50.074,151.486,93.284
109,66.579,57.139,50.675,45.479,62.154,50.498,152.214,94.071
110,67.132,57.598,51.131,45.868,62.657,50.921,153.49,94.891
111,67.668,58.057,51.585,46.265,63.193,51.345,155.348,95.734
112,68.205,58.529,52.023,46.660,63.729,51.769,156.055,96.568
113,68.73,58.988,52.438,47.040,64.266,52.193,157.331,97.367
114,69.24,59.46,52.865,47.420,64.802,52.616,158.044,98.175
115,69.752,59.932,53.305,47.798,65.339,53.04,159.864,99.011
116,70.268,60.403,53.743,48.178,65.875,53.464,161.179,99.81
117,70.78,60.875,54.19,48.558,66.412,53.888,161.89,100.611
118,71.306,61.359,54.62,48.942,66.915,54.311,163.185,101.387
119,72.101,62.102,55.066,49.332,67.452,54.735,165.094,102.187
120,72.629,62.513,55.516,49.726,68.022,55.158,165.844,103.034
121,73.169,63.053,55.968,50.125,68.658,55.626,167.111,103.911
122,73.699,63.426,56.408,50.515,69.227,56.049,167.852,104.765
123,74.293,63.812,56.858,50.916,69.863,56.516,169.686,105.635
124,74.861,64.198,57.288,51.304,70.432,56.942,170.443,106.457
125,75.417,64.583,57.736,51.696,71.002,57.365,171.192,107.295
126,75.982,64.982,58.17,52.089,71.571,57.789,173.555,108.165
127,76.505,65.368,58.609,52.475,72.108,58.213,174.286,108.998
128,77.03,65.766,59.052,52.865,72.644,58.636,176.718,109.807
129,77.56,66.177,59.489,53.255,73.247,59.104,178.027,110.67
130,78.087,66.563,59.927,53.640,73.783,59.528,178.757,111.492
131,78.647,66.987,60.364,54.027,74.353,59.951,180.057,112.365
132,79.167,67.526,60.803,54.415,74.922,60.375,182.499,113.224
133,79.698,68,61.24,54.804,75.492,60.799,183.762,114.051
134,80.327,68.732,61.659,55.185,76.028,61.222,186.253,114.85
135,80.96,69.233,62.099,55.570,76.564,61.646,187.015,115.655
136,81.601,69.722,62.532,55.951,77.1,62.069,188.273,116.467
137,82.213,70.197,62.96,56.333,77.637,62.493,189.036,117.301
138,82.738,70.673,63.391,56.716,78.173,62.917,189.794,118.112
139,83.259,71.148,63.822,57.100,78.709,63.34,191.076,118.95
140,83.782,71.624,64.253,57.484,79.212,63.764,191.824,119.73
141,84.369,72.087,64.686,57.867,79.715,64.188,192.529,120.509
142,84.92,72.524,65.121,58.254,80.218,64.611,193.236,121.298
143,85.486,72.974,65.567,58.648,80.755,65.035,195.139,122.143
144,86.009,73.437,66,59.036,81.258,65.459,196.963,122.962
145,86.524,73.9,66.414,59.412,81.794,65.882,197.688,123.769
146,87.09,74.375,66.838,59.789,82.297,66.306,198.42,124.55
147,87.632,74.8,67.256,60.164,82.767,66.73,199.149,125.315
148,88.208,75.288,67.678,60.547,83.304,67.153,199.879,126.164
149,88.771,75.764,68.096,60.927,83.84,67.577,200.578,127.004
150,89.278,76.227,68.511,61.304,84.377,68.001,201.275,127.81
151,89.786,76.625,68.925,61.683,84.88,68.424,202.558,128.569
152,90.296,77.037,69.326,62.055,85.349,68.848,203.282,129.328
153,90.832,77.474,69.739,62.434,85.853,69.272,204.017,130.119
154,91.347,77.924,70.151,62.811,86.356,69.695,204.742,130.941
155,91.871,78.387,70.564,63.185,86.859,70.119,205.491,131.737
156,92.383,78.863,70.979,63.560,87.33,70.543,206.207,132.503
157,92.908,79.338,71.395,63.935,87.8,70.966,208.017,133.272
158,93.431,79.814,71.814,64.311,88.303,71.39,208.77,134.091
159,93.945,80.302,72.23,64.687,88.839,71.813,210.639,134.894
160,94.461,80.803,72.663,65.064,89.409,72.237,211.971,135.706
161,94.995,81.317,73.095,65.446,89.978,72.66,212.699,136.543
162,95.543,82.057,73.538,65.837,90.581,73.084,214.507,137.438
163,96.095,82.48,73.988,66.236,91.217,73.551,215.781,138.345
164,96.659,82.916,74.448,66.641,91.854,74.018,217.606,139.222
165,97.447,83.488,74.911,67.048,92.49,74.485,219.464,140.1
166,97.981,84.021,75.348,67.434,93.026,74.908,221.377,140.914
167,98.521,84.406,75.78,67.819,93.562,75.332,222.667,141.763
168,99.049,84.79,76.2,68.204,94.131,75.755,224.51,142.639
169,99.603,85.175,76.61,68.580,94.667,76.179,225.785,143.457
170,100.123,85.559,77.037,68.966,95.203,76.602,228.187,144.279
171,100.651,85.944,77.466,69.347,95.739,77.026,229.483,145.139
172,101.17,86.328,77.888,69.727,96.275,77.449,231.346,145.992
173,101.689,86.713,78.301,70.107,96.778,77.873,232.604,146.81
174,102.229,87.098,78.713,70.485,97.281,78.297,233.92,147.595
175,102.756,87.483,79.14,70.866,97.784,78.72,234.679,148.393
176,103.315,87.881,79.595,71.254,98.353,79.144,235.944,149.261
177,103.836,88.29,80.017,71.636,98.89,79.567,237.246,150.078
178,104.369,88.761,80.484,72.030,99.426,79.991,238.482,150.925
179,104.954,89.307,80.977,72.429,99.962,80.415,239.799,151.738
180,105.501,89.742,81.422,72.817,100.465,80.838,241.075,152.532
181,106.013,90.225,81.845,73.198,100.968,81.262,241.803,153.325
182,106.527,90.722,82.277,73.579,101.47,81.686,242.554,154.119
183,107.076,91.168,82.703,73.960,101.973,82.109,243.241,154.947
184,107.593,91.739,83.105,74.332,102.443,82.533,245.047,155.73
185,108.123,92.461,83.576,74.728,102.946,82.956,245.796,156.522
186,108.638,92.833,84.004,75.106,103.416,83.38,247.088,157.296
187,109.187,93.206,84.416,75.483,103.919,83.804,247.809,158.124
188,109.741,93.579,84.83,75.860,104.422,84.227,248.526,158.947
189,110.254,93.965,85.247,76.240,104.925,84.651,249.243,159.732
190,110.769,94.351,85.665,76.621,105.428,85.074,249.999,160.519
191,111.283,94.736,86.074,76.997,105.898,85.498,251.9,161.292
192,111.8,95.109,86.489,77.371,106.401,85.922,253.184,162.128
193,112.314,95.495,86.903,77.748,106.904,86.345,254.434,162.949
194,112.892,95.88,87.325,78.131,107.407,86.769,255.709,163.744
195,113.486,96.266,87.747,78.514,107.91,87.193,256.428,164.538
196,114.018,96.652,88.162,78.893,108.413,87.616,257.152,165.361
197,114.542,97.038,88.589,79.277,108.95,88.04,257.9,166.172
198,115.057,97.411,89.007,79.659,109.486,88.464,259.156,166.979
199,115.564,97.784,89.443,80.050,110.022,88.887,259.898,167.797
200,116.091,98.169,89.879,80.440,110.592,89.311,260.638,168.663
201,116.61,98.568,90.317,80.825,111.195,89.779,261.381,169.517
202,117.148,98.979,90.771,81.228,111.831,90.246,263.288,170.408
203,117.718,99.524,91.233,81.640,112.467,90.713,265.19,171.329
204,118.247,100.054,91.665,82.030,113.004,91.137,265.942,172.155
205,118.774,100.438,92.097,82.422,113.573,91.56,266.686,173.021
206,119.294,100.821,92.529,82.807,114.076,91.984,267.957,173.817
207,119.82,101.205,92.948,83.187,114.613,92.408,268.681,174.671
208,120.33,101.576,93.361,83.565,115.149,92.832,271.66,175.529
209,120.84,101.947,93.775,83.942,115.685,93.256,272.939,176.363
210,121.348,102.318,94.189,84.319,116.188,93.679,274.244,177.201
211,121.858,102.69,94.596,84.693,116.691,94.103,274.997,178.031
212,122.372,103.061,95,85.065,117.16,94.526,276.231,178.838
213,122.891,103.445,95.425,85.448,117.664,94.95,277.532,179.677
214,123.415,103.828,95.848,85.838,118.233,95.374,278.843,180.544
215,123.939,104.224,96.262,86.213,118.736,95.797,280.732,181.34
216,124.463,104.631,96.7,86.600,119.239,96.221,282.573,182.166
217,125.005,105.064,97.124,86.988,119.775,96.644,284.449,182.98
218,125.532,105.472,97.536,87.365,120.278,97.068,285.711,183.778
219,126.059,105.891,97.95,87.742,120.781,97.492,286.447,184.61
220,126.566,106.311,98.37,88.123,121.317,97.915,287.171,185.465
221,127.074,106.731,98.785,88.503,121.821,98.339,287.916,186.298
222,127.581,107.151,99.199,88.879,122.324,98.762,289.198,187.127
223,128.09,107.571,99.602,89.251,122.794,99.186,289.916,187.9
224,128.603,107.992,100.016,89.628,123.297,99.61,291.773,188.723
225,129.142,108.424,100.422,90.002,123.8,100.033,292.492,189.522
226,129.669,108.856,100.837,90.380,124.303,100.457,293.189,190.346
227,130.25,109.3,101.279,90.764,124.839,100.88,295.089,191.168
228,130.773,109.805,101.748,91.160,125.375,101.304,296.965,192.026
229,131.318,110.383,102.175,91.542,125.912,101.727,298.268,192.856
