Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
1,63.31,55.10,76.48,53.2,205.49,88.39,44.03,61.72
2,221.54,203.03,254.11,209.3,430.60,260.93,202.01,214.69
3,256.69,226.68,285.33,236.7,485.34,289.70,226.03,239.76
4,290.74,249.28,317.91,261.5,533.14,318.51,248.93,264.40
5,324.89,271.90,350.52,286.5,585.56,350.32,272.25,288.83
6,359.97,295.42,383.03,311.4,638.10,379.00,296.25,313.59
7,395.13,318.90,415.63,336.3,685.93,407.68,318.58,338.10
8,430.24,342.45,448.35,361.3,733.77,436.52,340.81,362.92
9,465.42,365.98,480.94,386.2,781.57,465.38,363.22,386.92
10,500.62,389.52,513.56,411.1,829.38,494.31,386.74,411.49
11,535.77,413.06,546.22,436.0,877.22,523.09,408.89,436.15
12,570.98,436.62,578.85,461.0,925.03,551.99,432.96,460.72
13,606.16,460.18,611.53,486.0,972.88,580.80,456.13,485.24
14,641.69,483.75,644.22,510.9,1016.02,609.60,478.58,509.52
15,677.05,507.34,676.81,535.9,1059.20,638.56,501.21,533.48
16,712.40,530.95,709.58,560.8,1102.40,667.40,525.12,557.73
17,747.86,554.57,742.33,585.8,1145.61,696.26,548.53,581.66
18,783.37,578.19,774.92,610.8,1188.85,725.26,570.68,605.93
19,818.69,601.82,807.56,635.8,1232.09,754.07,592.19,629.93
20,854.09,625.47,840.47,660.8,1275.38,783.01,613.68,654.25
21,889.52,649.12,873.39,685.8,1318.65,812.04,635.18,678.25
22,924.72,672.79,906.13,712.9,1371.37,844.09,657.43,703.75
23,960.85,697.45,938.85,740.9,1431.09,876.05,681.12,729.68
24,1002.76,721.14,971.60,766.3,1479.14,904.98,703.40,754.34
25,1050.71,745.82,1004.26,796.6,1541.15,940.14,726.95,780.92
26,1095.72,769.52,1036.99,824.9,1598.58,969.24,749.23,806.91
27,1130.03,792.26,1067.92,851.7,1646.59,1001.32,773.25,831.62
28,1164.97,816.99,1119.98,881.5,1725.03,1036.41,810.12,860.48
29,1203.61,841.71,1172.84,911.0,1787.17,1071.47,846.06,887.16
30,1242.77,866.44,1225.47,940.9,1858.69,1109.44,880.55,915.12
31,1277.69,891.17,1279.26,970.7,1920.82,1144.63,915.93,941.87
32,1312.89,914.93,1311.97,1000.3,1987.53,1179.91,939.42,969.20
33,1356.11,939.69,1344.76,1029.3,2040.25,1208.90,961.95,995.33
34,1390.85,963.46,1377.58,1059.0,2104.77,1244.03,984.62,1022.47
35,1426.06,988.23,1410.42,1087.4,2157.53,1273.16,1007.76,1047.89
36,1460.49,1012.00,1443.25,1117.3,2219.54,1308.25,1030.52,1074.92
37,1502.70,1036.77,1476.01,1146.2,2272.28,1340.34,1052.38,1101.16
38,1552.47,1060.55,1508.75,1176.2,2346.09,1375.50,1074.35,1129.48
39,1597.60,1085.32,1541.61,1206.2,2410.52,1410.70,1096.25,1156.47
40,1632.35,1109.09,1574.41,1236.1,2489.03,1445.85,1118.00,1185.39
41,1683.85,1134.84,1607.16,1266.6,2569.87,1483.87,1139.75,1214.75
42,1736.76,1159.62,1639.91,1296.9,2660.17,1525.06,1173.49,1245.12
43,1772.61,1185.39,1693.65,1327.9,2750.42,1563.32,1207.42,1275.84
44,1807.61,1210.16,1749.18,1358.4,2845.24,1604.41,1241.21,1307.70
45,1862.32,1235.91,1802.97,1389.6,2940.01,1642.58,1276.02,1338.87
46,1917.15,1260.67,1858.70,1420.0,3041.92,1683.86,1311.78,1371.16
47,1972.54,1286.44,1912.67,1451.3,3136.83,1725.16,1347.08,1402.70
48,2025.26,1311.19,1968.68,1481.8,3243.51,1766.31,1382.80,1435.48
