#CpuAmgClassNone1101351
Simulated_Time(sec),CPU_Time(sec)
5.67E-04,63.31
1.11E-03,221.537
1.63E-03,256.692
2.13E-03,290.744
2.61E-03,324.888
3.07E-03,359.974
3.52E-03,395.125
3.96E-03,430.235
4.38E-03,465.422
4.79E-03,500.617
5.20E-03,535.774
5.59E-03,570.983
5.98E-03,606.162
6.35E-03,641.691
6.72E-03,677.053
7.09E-03,712.397
7.44E-03,747.861
7.79E-03,783.365
8.14E-03,818.693
8.48E-03,854.094
8.81E-03,889.516
9.14E-03,924.716
9.47E-03,960.85
9.79E-03,1002.757
1.01E-02,1050.711
1.04E-02,1095.715
1.07E-02,1130.028
1.10E-02,1164.966
1.13E-02,1203.612
1.16E-02,1242.771
1.19E-02,1277.686
1.22E-02,1312.885
1.24E-02,1356.113
1.27E-02,1390.847
1.30E-02,1426.055
1.33E-02,1460.492
1.35E-02,1502.699
1.38E-02,1552.468
1.40E-02,1597.602
1.43E-02,1632.346
1.46E-02,1683.85
1.48E-02,1736.758
1.51E-02,1772.61
1.53E-02,1807.611
1.56E-02,1862.315
1.58E-02,1917.15
1.61E-02,1972.537
1.63E-02,2025.262
1.66E-02,2061.748
1.68E-02,2097.62
1.70E-02,2153.53
1.73E-02,2207.599
1.75E-02,2244.29
1.78E-02,2279.26
1.80E-02,2335.111
1.82E-02,2370.9
1.85E-02,2405.646
1.87E-02,2442.075
1.89E-02,2497.616
1.91E-02,2553.417
1.94E-02,2588.809
1.96E-02,2624.424
1.98E-02,2675.805
2.00E-02,2710.41
2.02E-02,2743.903
2.05E-02,2779.9
2.07E-02,2832.343
2.09E-02,2867.076
2.11E-02,2919.821
2.13E-02,2964.375
2.15E-02,2998.603
2.17E-02,3033.582
2.19E-02,3085.791
2.21E-02,3135.45
2.23E-02,3184.746
2.26E-02,3237.344
2.28E-02,3271.951
2.30E-02,3305.725
2.32E-02,3340.377
2.34E-02,3375.243
2.36E-02,3407.69
2.37E-02,3442.931
2.39E-02,3477.84
2.41E-02,3528.494
2.43E-02,3562.803
2.45E-02,3598.682
2.47E-02,3633.79
2.49E-02,3668.378
2.51E-02,3702.92
2.53E-02,3737.289
2.55E-02,3772.461
2.57E-02,3821.594
2.59E-02,3873.342
2.61E-02,3908.735
2.62E-02,3943.578
2.64E-02,3979.815
2.66E-02,4014.569
2.68E-02,4050.162
2.70E-02,4085.778
2.72E-02,4138.565
2.73E-02,4194.708
2.75E-02,4232.446
2.77E-02,4318.391
2.79E-02,4356.581
2.81E-02,4395.367
2.82E-02,4434.078
2.84E-02,4472.996
2.86E-02,4512.358
2.88E-02,4547.831
2.89E-02,4582.466
2.91E-02,4617.36
2.93E-02,4655.249
2.95E-02,4692.607
2.96E-02,4731.645
2.98E-02,4765.314
3.00E-02,4799.739
3.01E-02,4832.756
3.03E-02,4867.625
3.05E-02,4902.693
3.07E-02,4937.321
3.08E-02,4973.465
3.10E-02,5012.417
3.12E-02,5052.699
3.13E-02,5091.501
3.15E-02,5127.088
3.17E-02,5162.073
3.18E-02,5195.27
3.20E-02,5247.785
3.22E-02,5282.39
3.23E-02,5341.64
3.25E-02,5387.733
3.27E-02,5450.279
3.28E-02,5488.272
3.30E-02,5526.952
3.31E-02,5562.357
3.33E-02,5595.832
3.35E-02,5628.254
3.36E-02,5662.908
3.38E-02,5697.299
3.39E-02,5733.068
3.41E-02,5783.175
3.43E-02,5818.004
3.44E-02,5852.113
3.46E-02,5886.407
3.47E-02,5921.014
3.49E-02,5955.935
3.50E-02,6001.354
3.52E-02,6045.412
3.53E-02,6087.565
3.55E-02,6128.463
3.56E-02,6174.058
3.58E-02,6209.129
3.60E-02,6244.742
3.61E-02,6280.815
3.63E-02,6326.642
3.64E-02,6368.607
3.66E-02,6403.14
3.67E-02,6436.292
3.69E-02,6470.363
3.70E-02,6524.929
3.72E-02,6570.826
3.73E-02,6605.62
3.75E-02,6640.237
3.76E-02,6673.371
3.78E-02,6707.849
3.79E-02,6741.602
3.81E-02,6777.3
3.82E-02,6825.587
3.84E-02,6873.082
3.85E-02,6906.708
3.87E-02,6941.14
3.88E-02,6975.641
3.89E-02,7018.357
3.91E-02,7068.666
3.92E-02,7117.36
3.94E-02,7164.594
3.95E-02,7209.89
3.97E-02,7242.536
3.98E-02,7276.76
4.00E-02,7327.292
4.01E-02,7361.957
4.03E-02,7406.487
4.04E-02,7458.89
4.05E-02,7511.065
4.07E-02,7545.608
4.08E-02,7582.525
4.10E-02,7620.09
4.11E-02,7674.373
4.12E-02,7710.29
4.14E-02,7793.681
4.15E-02,7832.398
4.17E-02,7870.644
4.18E-02,7965.226
4.19E-02,8005.379
4.21E-02,8043.511
4.22E-02,8102.969
4.24E-02,8142.073
4.25E-02,8201.46
4.26E-02,8239.921
4.28E-02,8277.741
4.29E-02,8312.431
4.30E-02,8349.487
4.32E-02,8384.699
4.33E-02,8421.364
4.35E-02,8478.457
4.36E-02,8513.329
4.37E-02,8549.411
4.39E-02,8584.31
4.40E-02,8619.064
4.41E-02,8660.257
4.43E-02,8696.766
4.44E-02,8738.747
4.45E-02,8779.15
4.47E-02,8833.735
4.48E-02,8867.744
4.50E-02,8902.764
4.51E-02,8937.632
4.52E-02,8982.926
4.54E-02,9017.384
4.55E-02,9052.903
4.56E-02,9086.13
4.58E-02,9119.751
4.59E-02,9168.016
4.60E-02,9217.544
4.61E-02,9264.649
4.63E-02,9298.396
4.64E-02,9337.699
4.65E-02,9377.377
4.67E-02,9422.612
4.68E-02,9463.238
4.69E-02,9514.122
4.71E-02,9564.184
4.72E-02,9599.805
4.73E-02,9634.966
4.75E-02,9676.029
4.76E-02,9711.661
4.77E-02,9749.212
4.78E-02,9781.35
4.80E-02,9814.925
4.81E-02,9849.914
4.82E-02,9904.206
4.84E-02,9955.475
4.85E-02,10004.731
4.86E-02,10047.419
4.87E-02,10086.527
4.89E-02,10126.399
4.90E-02,10161.339
4.91E-02,10207.712
4.92E-02,10254.614
4.94E-02,10299.819
4.95E-02,10333.072
4.96E-02,10387.865
4.98E-02,10423.822
4.99E-02,10506.906
5.00E-02,10585.692
5.01E-02,10623.905
5.03E-02,10678.629
5.04E-02,10728.7
5.05E-02,10779.404
5.06E-02,10819.037
5.08E-02,10902.948
5.09E-02,10957.23
5.10E-02,10992.492
5.11E-02,11042.374
5.13E-02,11078.531
5.14E-02,11115.475
5.15E-02,11153.85
5.16E-02,11198.419
5.18E-02,11233.052
5.19E-02,11278.148
5.20E-02,11333.015
5.21E-02,11373.205
5.22E-02,11409.296
5.24E-02,11442.562
5.25E-02,11477.557
5.26E-02,11515.186
5.27E-02,11553.911
5.29E-02,11592.991
5.30E-02,11633.199
5.31E-02,11676.368
5.32E-02,11711.352
5.33E-02,11747.685
5.35E-02,11783.267
5.36E-02,11817.69
5.37E-02,11851.331
5.38E-02,11885.543
5.39E-02,11919.062
5.41E-02,11953.286
5.42E-02,11987.832
5.43E-02,12022.284
5.44E-02,12056.397
5.46E-02,12090.47
5.47E-02,12125.86
5.48E-02,12160.614
5.49E-02,12196.35
5.50E-02,12236.343
5.52E-02,12282.241
5.53E-02,12317.343
5.54E-02,12351.547
5.55E-02,12386.309
5.56E-02,12433.495
5.58E-02,12481.592
5.59E-02,12514.67
5.60E-02,12547.438
5.61E-02,12581.935
5.62E-02,12616.309
5.63E-02,12651.798
5.65E-02,12687.744
5.66E-02,12722.261
5.67E-02,12757.043
5.68E-02,12791.877
5.69E-02,12826.863
5.70E-02,12877.569
5.72E-02,12914.545
5.73E-02,12950.156
5.74E-02,12985.882
5.75E-02,13021.739
5.76E-02,13055.899
5.77E-02,13094.581
5.79E-02,13130.231
5.80E-02,13165.437
5.81E-02,13213.771
5.82E-02,13247.189
5.83E-02,13288.867
5.84E-02,13339.519
5.86E-02,13382.088
5.87E-02,13430.773
5.88E-02,13464.817
5.89E-02,13508.724
5.90E-02,13558.537
5.91E-02,13613.204
5.93E-02,13665.418
5.94E-02,13704.34
5.95E-02,13738.986
5.96E-02,13773.03
5.97E-02,13811.103
5.98E-02,13845.065
5.99E-02,13878.692
6.01E-02,13915.063
6.02E-02,13948.934
6.03E-02,13983.369
6.04E-02,14017.897
6.05E-02,14053.349
6.06E-02,14087.8
6.07E-02,14127.669
6.09E-02,14167.602
6.10E-02,14211.854
6.11E-02,14246.248
6.12E-02,14280.731
6.13E-02,14328.704
6.14E-02,14372.26
6.15E-02,14416.05
6.17E-02,14454.193
6.18E-02,14488.382
6.19E-02,14522.817
6.20E-02,14557.556
6.21E-02,14592.009
6.22E-02,14624.089
6.23E-02,14659.188
6.24E-02,14709.018
6.26E-02,14757.404
6.27E-02,14806.327
6.28E-02,14840.495
6.29E-02,14874.939
6.30E-02,14908.885
6.31E-02,14941.992
6.32E-02,14976.217
6.33E-02,15024.495
6.35E-02,15074.746
6.36E-02,15109.638
6.37E-02,15145.299
6.38E-02,15179.815
6.39E-02,15216.271
6.40E-02,15269.691
6.41E-02,15306.694
6.42E-02,15358.745
6.43E-02,15409.578
6.45E-02,15452.406
6.46E-02,15486.826
6.47E-02,15538.697
6.48E-02,15592.849
6.49E-02,15647.429
6.50E-02,15696.365
6.51E-02,15744.455
6.52E-02,15795.061
6.53E-02,15842.667
6.54E-02,15877.105
6.56E-02,15926.228
6.57E-02,15960.325
6.58E-02,16005.869
6.59E-02,16049.209
6.60E-02,16093.231
6.61E-02,16137.856
6.62E-02,16171.099
6.63E-02,16205.4
6.64E-02,16259.524
6.65E-02,16303.698
6.67E-02,16343.198
6.68E-02,16390.121
6.69E-02,16424.844
6.70E-02,16458.173
6.71E-02,16496.385
6.72E-02,16530.644
6.73E-02,16578.381
6.74E-02,16616.462
6.75E-02,16652.043
6.76E-02,16686.342
6.77E-02,16732.287
