#CpuAmgFreeNone169708
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,69.665
2.20E-03,125.283
3.64E-03,131.155
4.96E-03,156.549
6.14E-03,162.851
7.21E-03,167.957
8.20E-03,172.831
9.12E-03,177.565
1.00E-02,182.166
1.08E-02,186.771
1.16E-02,191.377
1.24E-02,195.986
1.31E-02,200.593
1.39E-02,205.2
1.46E-02,209.807
1.52E-02,214.484
1.59E-02,219.092
1.65E-02,224.106
1.72E-02,230.032
1.78E-02,234.644
1.84E-02,239.58
1.89E-02,247.07
1.95E-02,253.372
2.00E-02,264.893
2.06E-02,280.086
2.11E-02,286.022
2.16E-02,300.339
2.21E-02,323.993
2.26E-02,338.722
2.31E-02,348.899
2.36E-02,388.075
2.40E-02,392.976
2.45E-02,396.659
2.50E-02,400.206
2.54E-02,403.751
2.59E-02,407.298
2.63E-02,410.846
2.68E-02,414.468
2.72E-02,417.894
2.76E-02,421.443
2.81E-02,425.13
2.85E-02,428.681
2.89E-02,432.372
2.93E-02,436.061
2.97E-02,439.813
3.01E-02,443.233
3.05E-02,446.925
3.09E-02,450.618
3.13E-02,454.45
3.17E-02,458.145
3.21E-02,461.84
3.25E-02,465.537
3.29E-02,469.243
3.32E-02,472.812
3.36E-02,476.507
3.40E-02,480.34
3.44E-02,484.038
3.47E-02,487.735
3.51E-02,491.567
3.55E-02,495.267
3.58E-02,498.965
3.62E-02,502.663
3.65E-02,506.362
3.69E-02,510.196
3.72E-02,514.105
3.76E-02,517.963
3.79E-02,521.663
3.83E-02,525.364
3.86E-02,529.202
3.89E-02,532.905
3.93E-02,536.605
3.96E-02,540.316
3.99E-02,544.018
4.02E-02,547.583
4.06E-02,551.149
4.09E-02,554.991
4.12E-02,558.966
4.15E-02,562.969
4.18E-02,566.976
4.21E-02,570.815
4.25E-02,574.656
4.28E-02,578.496
4.31E-02,582.471
4.34E-02,586.31
4.37E-02,590.197
4.40E-02,594.036
4.43E-02,597.735
4.46E-02,601.842
4.49E-02,605.949
4.52E-02,609.648
4.55E-02,613.483
4.58E-02,617.181
4.61E-02,621.015
4.64E-02,628.285
4.67E-02,633.66
4.70E-02,642.969
4.73E-02,649.042
4.76E-02,654.852
4.79E-02,660.394
4.82E-02,666.202
4.84E-02,672.143
4.87E-02,678.35
4.90E-02,683.27
4.93E-02,686.949
4.96E-02,690.63
4.98E-02,694.18
5.01E-02,697.727
5.04E-02,701.273
5.07E-02,704.686
5.09E-02,708.233
5.12E-02,711.779
5.15E-02,715.342
5.18E-02,718.755
5.20E-02,722.302
5.23E-02,725.848
5.26E-02,729.393
5.28E-02,732.939
5.31E-02,736.485
5.34E-02,739.901
5.36E-02,743.448
5.39E-02,746.993
5.42E-02,750.405
5.44E-02,754.086
5.47E-02,757.498
5.49E-02,761.043
5.52E-02,764.649
5.55E-02,768.194
5.57E-02,771.871
5.60E-02,775.549
5.62E-02,778.96
5.65E-02,782.504
5.67E-02,786.181
5.70E-02,789.941
5.72E-02,793.381
5.75E-02,796.926
5.78E-02,800.472
5.80E-02,804.149
5.83E-02,807.826
5.85E-02,811.503
5.88E-02,815.492
5.90E-02,819.17
5.93E-02,822.582
5.95E-02,826.126
5.97E-02,829.804
6.00E-02,833.482
6.02E-02,837.16
6.05E-02,841.01
6.07E-02,844.687
6.10E-02,848.63
6.12E-02,852.441
6.15E-02,859.76
6.17E-02,864.7
6.19E-02,873.503
6.22E-02,879.551
6.24E-02,885.599
6.27E-02,891.954
6.29E-02,905.91
6.31E-02,912.658
6.34E-02,916.499
6.36E-02,919.928
6.38E-02,923.357
6.41E-02,926.785
6.43E-02,931.894
6.45E-02,935.461
6.48E-02,939.329
6.50E-02,944.712
6.52E-02,951.437
6.55E-02,954.848
6.57E-02,958.257
6.59E-02,961.667
6.61E-02,965.313
6.64E-02,968.773
6.66E-02,972.184
6.68E-02,975.595
6.70E-02,979.004
6.73E-02,982.414
6.75E-02,985.823
6.77E-02,989.233
6.79E-02,992.778
6.82E-02,996.32
6.84E-02,999.862
6.86E-02,1003.272
6.88E-02,1006.681
6.91E-02,1010.09
6.93E-02,1013.681
6.95E-02,1017.388
6.97E-02,1021.061
7.00E-02,1024.602
7.02E-02,1028.276
7.04E-02,1031.817
7.06E-02,1035.36
7.08E-02,1038.902
7.11E-02,1042.31
7.13E-02,1045.851
7.15E-02,1049.259
7.17E-02,1052.802
7.19E-02,1056.343
7.22E-02,1059.884
7.24E-02,1063.424
7.26E-02,1066.964
7.28E-02,1070.507
7.30E-02,1074.049
7.32E-02,1077.59
7.34E-02,1081.264
7.37E-02,1087.651
7.39E-02,1091.344
7.41E-02,1094.757
7.43E-02,1098.434
7.45E-02,1101.845
7.47E-02,1105.256
7.49E-02,1108.667
7.51E-02,1112.078
7.53E-02,1115.611
7.56E-02,1120.873
7.58E-02,1126.226
7.60E-02,1131.712
7.62E-02,1135.256
7.64E-02,1141.602
7.66E-02,1147.637
7.68E-02,1154.189
7.70E-02,1160.788
7.72E-02,1165.036
7.74E-02,1169.027
7.76E-02,1172.742
7.79E-02,1176.872
7.81E-02,1180.446
7.83E-02,1184.437
7.85E-02,1188.899
7.87E-02,1195.439
7.89E-02,1203.766
7.91E-02,1211.674
7.93E-02,1217.848
7.95E-02,1223.797
7.97E-02,1229.608
7.99E-02,1235.421
8.01E-02,1241.232
8.03E-02,1247.042
8.05E-02,1252.854
8.07E-02,1257.12
8.09E-02,1261.387
8.11E-02,1265.76
8.13E-02,1271.806
8.15E-02,1277.619
8.17E-02,1283.568
8.19E-02,1288.03
8.21E-02,1292.331
8.23E-02,1298.143
8.25E-02,1302.41
8.27E-02,1306.955
8.29E-02,1311.641
8.31E-02,1316.401
8.33E-02,1321.086
8.35E-02,1325.91
8.37E-02,1330.594
8.39E-02,1335.281
8.41E-02,1343.23
8.43E-02,1351.998
8.45E-02,1360.228
8.47E-02,1364.61
8.49E-02,1368.718
8.51E-02,1373.102
8.53E-02,1377.894
8.55E-02,1382.822
8.57E-02,1387.066
8.59E-02,1390.605
8.61E-02,1394.306
8.63E-02,1398.141
8.65E-02,1401.839
8.67E-02,1408.037
8.69E-02,1414.646
8.71E-02,1418.889
8.73E-02,1423.133
8.75E-02,1433.102
8.77E-02,1440.494
8.79E-02,1445.055
8.80E-02,1449.476
8.82E-02,1453.336
8.84E-02,1457.196
8.86E-02,1461.195
8.88E-02,1465.813
8.90E-02,1469.391
8.92E-02,1473.533
8.94E-02,1477.953
8.96E-02,1481.953
8.98E-02,1490.283
9.00E-02,1497.229
9.02E-02,1505.102
9.04E-02,1509.916
9.05E-02,1515.176
9.07E-02,1520.13
9.09E-02,1524.944
9.11E-02,1529.896
9.13E-02,1534.712
9.15E-02,1539.862
9.17E-02,1543.984
9.19E-02,1548.938
9.21E-02,1554.167
9.22E-02,1559.396
9.24E-02,1564.673
9.26E-02,1569.763
9.28E-02,1574.716
9.30E-02,1579.114
9.32E-02,1585.626
9.34E-02,1589.254
9.36E-02,1592.825
9.37E-02,1596.53
