#CpuCgDiag515679
Simulated_Time(sec),CPU_Time(sec)
9.46E-04,24.397
1.81E-03,106.26
2.61E-03,120.35
3.36E-03,135.102
4.06E-03,149.861
4.73E-03,164.713
5.36E-03,179.512
5.97E-03,194.296
6.55E-03,209.089
7.11E-03,224.018
7.66E-03,238.839
8.19E-03,253.675
8.70E-03,268.504
9.21E-03,283.307
9.70E-03,298.124
1.02E-02,312.955
1.06E-02,328.062
1.11E-02,343.078
1.16E-02,357.93
1.20E-02,372.794
1.24E-02,387.662
1.29E-02,402.519
1.33E-02,417.516
1.37E-02,432.41
1.41E-02,446.99
1.45E-02,461.889
1.48E-02,476.818
1.52E-02,491.966
1.56E-02,506.993
1.59E-02,530.346
1.63E-02,545.321
1.67E-02,568.651
1.70E-02,583.581
1.73E-02,598.519
1.77E-02,622.048
1.80E-02,636.978
1.84E-02,660.311
1.87E-02,675.391
1.90E-02,690.393
1.93E-02,713.174
1.97E-02,736.867
2.00E-02,760.122
2.03E-02,783.594
2.06E-02,798.756
2.09E-02,813.716
2.12E-02,828.715
2.16E-02,843.661
2.19E-02,867.051
2.22E-02,881.965
2.25E-02,896.989
2.28E-02,920.828
2.31E-02,935.832
2.34E-02,959.008
2.36E-02,973.978
2.39E-02,988.916
2.42E-02,1012.477
2.45E-02,1035.755
2.48E-02,1050.671
2.50E-02,1075.326
2.53E-02,1090.284
2.56E-02,1105.218
2.59E-02,1128.712
2.61E-02,1143.644
2.64E-02,1167.07
2.67E-02,1190.45
2.69E-02,1205.339
2.72E-02,1220.262
2.75E-02,1235.127
2.77E-02,1259.72
2.80E-02,1282.668
2.82E-02,1297.591
2.85E-02,1312.45
2.87E-02,1327.245
2.90E-02,1350.04
2.92E-02,1364.908
2.95E-02,1388.508
2.97E-02,1403.604
3.00E-02,1418.459
3.02E-02,1440.575
3.05E-02,1464.217
3.07E-02,1479.08
3.10E-02,1501.955
3.12E-02,1516.937
3.14E-02,1541.476
3.17E-02,1556.366
3.19E-02,1571.458
3.21E-02,1586.368
3.24E-02,1601.306
3.26E-02,1616.228
3.28E-02,1641.697
3.31E-02,1666.525
3.33E-02,1689.544
3.35E-02,1712.948
3.38E-02,1727.915
3.40E-02,1743.014
3.42E-02,1765.929
3.44E-02,1780.912
3.46E-02,1804.399
3.49E-02,1819.443
3.51E-02,1842.199
3.53E-02,1857.204
3.55E-02,1872.23
3.57E-02,1895.59
3.60E-02,1910.592
3.62E-02,1925.779
3.64E-02,1940.881
3.66E-02,1955.894
3.68E-02,1970.918
3.70E-02,1985.914
3.73E-02,2000.907
3.75E-02,2015.9
3.77E-02,2030.9
3.79E-02,2045.985
3.81E-02,2060.963
3.83E-02,2084.491
3.85E-02,2099.615
3.87E-02,2114.685
3.89E-02,2129.794
3.91E-02,2144.77
3.93E-02,2159.745
3.95E-02,2174.815
3.97E-02,2189.841
3.99E-02,2204.816
4.02E-02,2219.862
4.04E-02,2234.83
4.06E-02,2249.858
4.08E-02,2264.874
4.10E-02,2287.502
4.12E-02,2302.635
4.14E-02,2317.599
4.15E-02,2332.567
4.17E-02,2347.582
4.19E-02,2362.54
4.21E-02,2377.585
4.23E-02,2392.669
4.25E-02,2407.63
4.27E-02,2422.672
4.29E-02,2437.625
4.31E-02,2452.607
4.33E-02,2467.65
4.35E-02,2482.598
4.37E-02,2497.559
4.39E-02,2512.503
4.41E-02,2527.816
4.42E-02,2542.829
4.44E-02,2557.201
4.46E-02,2571.295
4.48E-02,2586.238
4.50E-02,2601.364
4.52E-02,2616.501
4.54E-02,2631.468
4.56E-02,2646.257
4.57E-02,2661.197
4.59E-02,2676.163
4.61E-02,2691.289
4.63E-02,2706.225
4.65E-02,2721.159
4.67E-02,2736.093
4.68E-02,2751.071
4.70E-02,2766.076
4.72E-02,2788.124
4.74E-02,2803.132
4.76E-02,2818.16
4.78E-02,2843.83
4.79E-02,2867.35
4.81E-02,2890.305
4.83E-02,2905.497
4.85E-02,2920.492
4.87E-02,2935.407
4.88E-02,2950.427
4.90E-02,2965.413
4.92E-02,2980.335
4.94E-02,2995.252
4.95E-02,3010.171
4.97E-02,3025.166
4.99E-02,3040.099
5.01E-02,3055.017
5.02E-02,3069.942
5.04E-02,3084.86
5.06E-02,3100.009
5.07E-02,3114.978
5.09E-02,3129.949
5.11E-02,3144.859
5.13E-02,3159.523
5.14E-02,3181.818
5.16E-02,3196.83
5.18E-02,3210.746
5.19E-02,3225.699
5.21E-02,3240.265
5.23E-02,3255.166
5.25E-02,3270.126
5.26E-02,3284.47
5.28E-02,3298.384
5.30E-02,3313.287
5.31E-02,3328.261
5.33E-02,3343.209
5.35E-02,3358.104
5.36E-02,3372.997
5.38E-02,3387.893
5.40E-02,3402.662
5.41E-02,3417.577
5.43E-02,3432.468
5.45E-02,3447.465
5.46E-02,3461.816
5.48E-02,3476.722
5.50E-02,3491.671
5.51E-02,3506.557
5.53E-02,3521.519
5.55E-02,3536.402
5.56E-02,3551.325
5.58E-02,3566.012
5.60E-02,3580.892
5.61E-02,3596.024
5.63E-02,3610.91
5.64E-02,3625.836
5.66E-02,3640.766
5.68E-02,3655.64
5.69E-02,3670.515
5.71E-02,3685.382
5.72E-02,3700.263
5.74E-02,3715.137
5.76E-02,3730.011
5.77E-02,3744.883
5.79E-02,3759.747
5.80E-02,3774.711
5.82E-02,3789.578
5.84E-02,3804.439
5.85E-02,3819.37
5.87E-02,3834.233
5.88E-02,3857.375
5.90E-02,3881.432
5.92E-02,3896.297
5.93E-02,3911.159
5.95E-02,3926.221
5.96E-02,3940.962
5.98E-02,3955.818
5.99E-02,3970.702
6.01E-02,3985.555
6.03E-02,3999.932
6.04E-02,4014.256
6.06E-02,4029.111
6.07E-02,4044.181
6.09E-02,4059.132
6.10E-02,4074.095
6.12E-02,4088.608
6.13E-02,4103.501
6.15E-02,4118.405
6.17E-02,4132.955
6.18E-02,4147.033
6.20E-02,4161.202
6.21E-02,4176.176
6.23E-02,4190.533
6.24E-02,4205.382
6.26E-02,4220.251
6.27E-02,4235.091
6.29E-02,4249.987
6.30E-02,4264.88
6.32E-02,4279.724
6.33E-02,4294.719
6.35E-02,4309.551
6.36E-02,4324.383
6.38E-02,4339.29
6.39E-02,4354.238
6.41E-02,4368.917
6.42E-02,4383.37
6.44E-02,4397.378
6.45E-02,4412.205
6.47E-02,4427.107
6.48E-02,4441.958
6.50E-02,4456.79
6.51E-02,4471.675
6.53E-02,4486.501
6.54E-02,4501.425
6.56E-02,4516.281
6.57E-02,4531.106
6.59E-02,4554.08
6.60E-02,4568.962
6.62E-02,4583.785
6.63E-02,4598.608
6.65E-02,4613.441
6.66E-02,4637.755
6.68E-02,4661.49
6.69E-02,4676.33
6.71E-02,4691.239
6.72E-02,4706.057
6.74E-02,4720.956
6.75E-02,4735.442
6.76E-02,4750.353
6.78E-02,4764.719
6.79E-02,4779.06
6.81E-02,4793.919
6.82E-02,4808.73
6.84E-02,4823.624
6.85E-02,4838.449
6.87E-02,4853.355
6.88E-02,4867.749
6.90E-02,4882.558
6.91E-02,4897.366
6.93E-02,4912.175
6.94E-02,4926.985
6.95E-02,4941.84
6.97E-02,4956.642
6.98E-02,4971.526
7.00E-02,4985.856
7.01E-02,5000.817
7.03E-02,5015.7
7.04E-02,5030.518
7.06E-02,5044.904
7.07E-02,5059.705
7.08E-02,5074.346
7.10E-02,5089.209
7.11E-02,5102.834
7.13E-02,5117.239
7.14E-02,5132.04
7.15E-02,5146.882
7.17E-02,5161.163
7.18E-02,5175.982
7.20E-02,5190.858
7.21E-02,5205.658
7.23E-02,5220.584
7.24E-02,5235.374
7.25E-02,5250.09
7.27E-02,5264.935
7.28E-02,5279.765
7.30E-02,5294.264
7.31E-02,5308.954
7.32E-02,5323.657
7.34E-02,5338.445
7.35E-02,5353.231
7.37E-02,5368.078
7.38E-02,5382.864
7.40E-02,5397.69
7.41E-02,5412.476
7.42E-02,5427.312
7.44E-02,5442.108
7.45E-02,5456.904
7.47E-02,5471.891
7.48E-02,5486.684
7.49E-02,5501.576
7.51E-02,5516.454
7.52E-02,5531.248
7.53E-02,5546.092
7.55E-02,5560.883
7.56E-02,5575.606
7.58E-02,5588.331
7.59E-02,5603.107
7.60E-02,5617.888
7.62E-02,5632.669
7.63E-02,5654.755
7.65E-02,5669.532
7.66E-02,5684.312
7.67E-02,5699.246
7.69E-02,5714.05
7.70E-02,5728.877
7.71E-02,5743.709
7.73E-02,5758.488
7.74E-02,5773.264
7.76E-02,5788.039
7.77E-02,5802.833
7.78E-02,5817.61
7.80E-02,5832.387
7.81E-02,5847.165
