#CpuCgLusgs98304
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,4.114
2.20E-03,17.91
3.64E-03,19.953
5.37E-03,21.999
6.90E-03,24.183
8.25E-03,26.216
9.48E-03,28.314
1.06E-02,30.409
1.17E-02,32.453
1.26E-02,34.479
1.36E-02,36.5
1.45E-02,38.519
1.54E-02,40.535
1.62E-02,42.545
1.70E-02,44.561
1.78E-02,46.581
1.86E-02,48.599
1.93E-02,50.617
2.00E-02,52.634
2.07E-02,54.662
2.14E-02,56.701
2.21E-02,58.764
2.28E-02,60.854
2.34E-02,62.949
2.40E-02,65.082
2.47E-02,67.114
2.53E-02,69.136
2.59E-02,71.219
2.65E-02,73.342
2.71E-02,75.421
2.76E-02,77.41
2.82E-02,79.439
2.87E-02,81.448
2.93E-02,83.461
2.98E-02,85.478
3.03E-02,87.628
3.08E-02,89.719
3.13E-02,91.715
3.18E-02,93.732
3.23E-02,95.754
3.28E-02,97.842
3.33E-02,99.95
3.38E-02,101.999
3.42E-02,104.038
3.47E-02,106.081
3.52E-02,108.149
3.56E-02,110.273
3.61E-02,112.442
3.65E-02,114.694
3.70E-02,116.914
3.74E-02,119.086
3.78E-02,121.212
3.83E-02,123.364
3.87E-02,125.5
3.91E-02,127.621
3.95E-02,129.722
4.00E-02,131.814
4.04E-02,133.886
4.08E-02,135.997
4.12E-02,138.158
4.16E-02,140.229
4.20E-02,142.266
4.24E-02,144.393
4.28E-02,146.443
4.32E-02,148.608
4.36E-02,150.758
4.40E-02,152.883
4.44E-02,154.932
4.48E-02,156.966
4.52E-02,158.96
4.56E-02,160.958
4.59E-02,163.077
4.63E-02,165.231
4.67E-02,167.359
4.71E-02,169.413
4.74E-02,171.452
4.78E-02,173.426
4.81E-02,175.425
4.85E-02,177.534
4.88E-02,179.638
4.92E-02,181.801
4.96E-02,183.955
4.99E-02,185.973
5.03E-02,187.955
5.06E-02,189.923
5.10E-02,191.931
5.13E-02,193.993
5.17E-02,196.116
5.20E-02,198.268
5.23E-02,200.46
5.27E-02,202.522
5.30E-02,204.576
5.34E-02,206.573
5.37E-02,208.605
5.40E-02,210.712
5.44E-02,212.749
5.47E-02,214.896
5.50E-02,217.033
5.54E-02,219.169
5.57E-02,221.291
5.60E-02,223.403
5.63E-02,225.549
5.67E-02,227.691
5.70E-02,229.848
5.73E-02,231.889
5.76E-02,233.997
5.79E-02,236.148
5.82E-02,238.285
5.85E-02,240.455
5.88E-02,242.612
5.92E-02,244.743
5.95E-02,246.809
5.98E-02,248.944
6.01E-02,251.18
6.04E-02,253.196
6.07E-02,255.317
6.10E-02,257.367
6.13E-02,259.502
6.16E-02,261.618
6.19E-02,263.76
6.22E-02,265.885
6.25E-02,267.96
6.28E-02,270.0
6.31E-02,272.025
6.34E-02,274.015
6.37E-02,276.031
6.40E-02,278.001
6.43E-02,280.061
6.46E-02,282.126
6.49E-02,284.166
6.52E-02,286.301
6.55E-02,288.331
6.58E-02,290.47
6.60E-02,292.595
6.63E-02,294.661
6.66E-02,296.735
6.69E-02,298.774
6.72E-02,300.784
6.75E-02,302.818
6.77E-02,304.862
6.80E-02,306.931
6.83E-02,308.991
6.86E-02,311.04
6.89E-02,313.094
6.91E-02,315.127
6.94E-02,317.246
6.97E-02,319.359
7.00E-02,321.503
7.02E-02,323.654
7.05E-02,325.727
7.08E-02,327.761
7.11E-02,329.81
7.13E-02,331.848
7.16E-02,333.892
7.19E-02,335.925
7.22E-02,337.934
7.24E-02,340.017
7.27E-02,342.066
7.30E-02,344.106
7.32E-02,346.175
7.35E-02,348.288
7.38E-02,350.492
7.40E-02,352.751
7.43E-02,354.865
7.46E-02,357.008
7.48E-02,359.097
7.51E-02,361.215
7.54E-02,363.313
7.56E-02,365.467
7.59E-02,367.49
7.62E-02,369.483
7.64E-02,371.497
7.67E-02,373.535
7.69E-02,375.543
7.72E-02,377.616
7.74E-02,379.674
7.77E-02,381.652
7.80E-02,383.736
7.82E-02,385.819
7.85E-02,387.852
7.87E-02,389.859
7.90E-02,391.928
7.92E-02,394.055
7.95E-02,396.108
7.97E-02,398.181
8.00E-02,400.284
8.02E-02,402.361
8.05E-02,404.429
8.07E-02,406.496
8.10E-02,408.548
8.12E-02,410.611
8.15E-02,412.673
8.17E-02,414.766
8.20E-02,416.858
8.22E-02,418.98
8.25E-02,421.042
8.27E-02,423.179
8.30E-02,425.276
8.32E-02,427.343
8.35E-02,429.365
8.37E-02,431.357
8.40E-02,433.379
8.42E-02,435.406
8.45E-02,437.433
8.47E-02,439.465
8.49E-02,441.482
8.52E-02,443.56
8.54E-02,445.657
8.57E-02,447.733
8.59E-02,449.79
8.62E-02,451.861
8.64E-02,454.003
8.66E-02,456.165
8.69E-02,458.257
8.71E-02,460.399
8.74E-02,462.475
8.76E-02,464.551
8.78E-02,466.679
8.81E-02,468.794
8.83E-02,470.86
8.86E-02,472.871
8.88E-02,474.807
8.90E-02,476.818
8.93E-02,478.834
8.95E-02,480.87
8.97E-02,482.9
9.00E-02,484.891
9.02E-02,486.911
9.04E-02,488.912
9.07E-02,490.978
9.09E-02,493.054
9.12E-02,495.115
9.14E-02,497.115
9.16E-02,499.116
9.19E-02,501.101
9.21E-02,503.127
9.23E-02,505.164
9.25E-02,507.196
9.28E-02,509.236
9.30E-02,511.286
9.32E-02,513.312
9.35E-02,515.413
