#CpuGmresDiag169708
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,15.816
2.20E-03,43.574
3.64E-03,49.704
4.96E-03,58.185
6.14E-03,64.961
7.21E-03,71.735
8.20E-03,78.526
9.12E-03,84.98
1.00E-02,91.109
1.08E-02,97.23
1.16E-02,103.357
1.24E-02,109.225
1.31E-02,115.027
1.39E-02,120.832
1.46E-02,126.636
1.52E-02,132.51
1.59E-02,138.643
1.65E-02,145.424
1.72E-02,151.237
1.78E-02,157.373
1.84E-02,165.131
1.89E-02,171.922
1.95E-02,178.054
2.00E-02,185.816
2.06E-02,193.601
2.11E-02,199.086
2.16E-02,206.539
2.21E-02,214.63
2.26E-02,221.413
2.31E-02,229.191
2.36E-02,238.372
2.40E-02,246.461
2.45E-02,254.244
2.50E-02,261.742
2.54E-02,268.849
2.59E-02,276.935
2.63E-02,283.156
2.68E-02,290.595
2.72E-02,297.377
2.76E-02,305.78
2.81E-02,314.835
2.85E-02,321.618
2.89E-02,331.032
2.93E-02,339.439
2.97E-02,346.875
3.01E-02,353.344
3.05E-02,362.082
3.09E-02,369.526
3.13E-02,376.643
3.17E-02,385.2
3.21E-02,393.62
3.25E-02,401.386
3.29E-02,408.646
3.32E-02,416.089
3.36E-02,424.502
3.40E-02,433.243
3.44E-02,440.36
3.47E-02,446.826
3.51E-02,455.559
3.55E-02,463.323
3.58E-02,470.761
3.62E-02,477.876
3.65E-02,484.669
3.69E-02,493.41
3.72E-02,501.172
3.76E-02,508.08
3.79E-02,514.871
3.83E-02,520.368
3.86E-02,528.457
3.89E-02,536.631
3.93E-02,544.07
3.96E-02,550.867
3.99E-02,556.69
4.02E-02,564.126
4.06E-02,571.567
4.09E-02,579.655
4.12E-02,587.096
4.15E-02,594.217
4.18E-02,601.011
4.21E-02,607.898
4.25E-02,615.018
4.28E-02,622.785
4.31E-02,630.57
4.34E-02,637.405
4.37E-02,643.873
4.40E-02,649.048
4.43E-02,656.536
4.46E-02,664.626
4.49E-02,672.393
4.52E-02,679.831
4.55E-02,686.768
4.58E-02,692.263
4.61E-02,699.052
4.64E-02,706.196
4.67E-02,713.311
4.70E-02,721.073
4.73E-02,728.511
4.76E-02,735.658
4.79E-02,742.772
4.82E-02,749.568
4.84E-02,757.035
4.87E-02,764.474
4.90E-02,772.56
4.93E-02,779.997
4.96E-02,788.737
4.98E-02,796.499
5.01E-02,803.612
5.04E-02,810.729
