#CpuGmresLusgs19684
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,0.692
2.20E-03,4.069
3.64E-03,4.492
5.37E-03,4.915
7.44E-03,5.338
9.93E-03,5.761
1.26E-02,6.184
1.48E-02,6.614
1.67E-02,7.038
1.85E-02,7.462
2.02E-02,7.887
2.17E-02,8.313
2.32E-02,8.739
2.46E-02,9.165
2.59E-02,9.591
2.72E-02,10.018
2.84E-02,10.445
2.96E-02,10.871
3.08E-02,11.298
3.19E-02,11.724
3.30E-02,12.154
3.41E-02,12.623
3.51E-02,13.05
3.61E-02,13.476
3.70E-02,13.903
3.79E-02,14.329
3.88E-02,14.799
3.97E-02,15.269
4.06E-02,15.739
4.14E-02,16.166
4.23E-02,16.636
4.31E-02,17.106
4.39E-02,17.532
4.47E-02,18.001
4.55E-02,18.427
4.63E-02,18.852
4.71E-02,19.277
4.78E-02,19.702
4.86E-02,20.171
4.93E-02,20.598
5.00E-02,21.023
5.07E-02,21.449
5.14E-02,21.874
5.20E-02,22.299
5.27E-02,22.724
5.34E-02,23.149
5.41E-02,23.617
5.48E-02,24.086
5.55E-02,24.511
5.62E-02,24.936
5.68E-02,25.361
5.75E-02,25.786
5.81E-02,26.211
5.88E-02,26.637
5.94E-02,27.062
6.01E-02,27.53
6.07E-02,27.998
6.13E-02,28.423
6.19E-02,28.848
6.25E-02,29.273
6.31E-02,29.698
6.37E-02,30.123
6.43E-02,30.547
6.49E-02,30.972
6.55E-02,31.397
6.60E-02,31.822
6.66E-02,32.29
6.71E-02,32.758
6.77E-02,33.227
6.82E-02,33.651
6.88E-02,34.076
6.93E-02,34.502
6.99E-02,34.928
7.04E-02,35.352
7.10E-02,35.821
7.15E-02,36.245
7.20E-02,36.671
7.26E-02,37.138
7.31E-02,37.606
7.36E-02,38.073
7.42E-02,38.541
7.47E-02,38.965
7.52E-02,39.433
7.57E-02,39.857
7.63E-02,40.281
7.68E-02,40.705
7.73E-02,41.129
7.78E-02,41.552
7.83E-02,41.976
7.88E-02,42.4
7.93E-02,42.824
7.98E-02,43.248
8.03E-02,43.672
8.08E-02,44.096
8.13E-02,44.52
8.17E-02,44.943
8.22E-02,45.367
8.27E-02,45.791
8.32E-02,46.215
8.37E-02,46.684
8.41E-02,47.108
8.46E-02,47.531
8.51E-02,47.955
8.55E-02,48.379
8.60E-02,48.803
8.65E-02,49.227
8.69E-02,49.65
