#GpuCgDiag169708
Simulated_Time(sec),CPU_Time(sec)
1.00E-03,8.431
2.20E-03,33.66
3.64E-03,37.09
4.96E-03,42.609
6.14E-03,46.01
7.21E-03,51.523
8.20E-03,57.004
9.12E-03,62.503
1.00E-02,67.977
1.08E-02,73.486
1.16E-02,79.039
1.24E-02,84.769
1.31E-02,90.301
1.39E-02,95.754
1.46E-02,101.243
1.52E-02,106.742
1.59E-02,112.269
1.65E-02,115.706
1.72E-02,119.141
1.78E-02,122.575
1.84E-02,128.207
1.89E-02,131.644
1.95E-02,135.105
2.00E-02,140.644
2.06E-02,146.227
2.11E-02,149.665
2.16E-02,155.167
2.21E-02,160.693
2.26E-02,166.254
2.31E-02,171.774
2.36E-02,177.297
2.40E-02,182.81
2.45E-02,188.357
2.50E-02,193.854
2.54E-02,199.406
2.59E-02,204.93
2.63E-02,208.374
2.68E-02,214.056
2.72E-02,217.755
2.76E-02,223.325
2.81E-02,228.953
2.85E-02,234.515
2.89E-02,240.05
2.93E-02,245.606
2.97E-02,251.261
3.01E-02,254.713
3.05E-02,260.29
3.09E-02,265.813
3.13E-02,271.348
3.17E-02,276.927
3.21E-02,282.524
3.25E-02,288.052
3.29E-02,293.592
3.32E-02,299.099
3.36E-02,304.676
3.40E-02,310.184
3.44E-02,315.726
3.47E-02,319.187
3.51E-02,324.767
3.55E-02,330.335
3.58E-02,335.873
3.62E-02,341.42
3.65E-02,344.879
3.69E-02,350.459
3.72E-02,356.187
3.76E-02,361.979
3.79E-02,367.505
3.83E-02,370.964
3.86E-02,376.538
3.89E-02,382.151
3.93E-02,387.939
3.96E-02,391.396
3.99E-02,394.953
4.02E-02,400.777
4.06E-02,406.346
4.09E-02,411.965
4.12E-02,417.519
4.15E-02,423.052
4.18E-02,426.521
4.21E-02,432.073
4.25E-02,437.673
4.28E-02,443.273
4.31E-02,448.795
4.34E-02,454.345
4.37E-02,457.806
4.40E-02,461.269
4.43E-02,466.838
4.46E-02,472.416
4.49E-02,477.929
4.52E-02,483.482
4.55E-02,486.936
4.58E-02,490.392
4.61E-02,493.854
4.64E-02,499.393
4.67E-02,504.928
4.70E-02,510.485
4.73E-02,515.977
4.76E-02,521.494
4.79E-02,524.95
4.82E-02,528.408
4.84E-02,531.865
4.87E-02,537.39
4.90E-02,542.929
4.93E-02,548.502
4.96E-02,554.011
4.98E-02,559.591
5.01E-02,565.097
5.04E-02,570.634
5.07E-02,574.093
5.09E-02,579.621
5.12E-02,585.129
5.15E-02,590.689
5.18E-02,594.142
5.20E-02,599.683
5.23E-02,605.189
5.26E-02,610.738
5.28E-02,614.183
5.31E-02,619.701
5.34E-02,623.152
5.36E-02,626.611
5.39E-02,630.069
5.42E-02,635.624
5.44E-02,641.232
5.47E-02,644.937
5.49E-02,648.398
5.52E-02,653.914
5.55E-02,659.536
5.57E-02,662.991
5.60E-02,666.452
5.62E-02,669.911
5.65E-02,673.369
5.67E-02,676.925
5.70E-02,680.597
5.72E-02,684.079
5.75E-02,689.631
5.78E-02,695.135
5.80E-02,698.588
5.83E-02,702.038
5.85E-02,707.642
5.88E-02,713.227
5.90E-02,718.976
5.93E-02,722.434
5.95E-02,725.887
5.97E-02,729.34
6.00E-02,732.794
6.02E-02,736.229
6.05E-02,739.681
6.07E-02,743.132
6.10E-02,748.658
6.12E-02,754.232
6.15E-02,757.943
6.17E-02,761.393
6.19E-02,766.881
6.22E-02,772.399
6.24E-02,775.854
6.27E-02,781.453
6.29E-02,787.037
6.31E-02,792.602
6.34E-02,798.131
6.36E-02,801.58
6.38E-02,805.039
6.41E-02,808.505
6.43E-02,811.963
6.45E-02,815.419
6.48E-02,820.926
6.50E-02,824.378
6.52E-02,827.833
6.55E-02,831.272
6.57E-02,834.754
6.59E-02,840.256
6.61E-02,843.711
6.64E-02,847.164
6.66E-02,850.615
6.68E-02,856.103
6.70E-02,859.558
6.73E-02,863.016
6.75E-02,866.471
6.77E-02,869.92
6.79E-02,875.451
6.82E-02,878.9
6.84E-02,882.376
6.86E-02,885.966
6.88E-02,889.67
6.91E-02,893.122
6.93E-02,896.572
6.95E-02,902.045
6.97E-02,905.501
7.00E-02,908.981
7.02E-02,912.434
7.04E-02,915.888
7.06E-02,919.309
