#GpuGmresDiag1101351
Simulated_Time(sec),CPU_Time(sec)
5.67E-04,61.716
1.11E-03,214.689
1.63E-03,239.756
2.13E-03,264.404
2.61E-03,288.828
3.07E-03,313.585
3.52E-03,338.101
3.96E-03,362.919
4.38E-03,386.922
4.79E-03,411.491
5.20E-03,436.146
5.59E-03,460.717
5.98E-03,485.242
6.35E-03,509.519
6.72E-03,533.477
7.09E-03,557.725
7.44E-03,581.661
7.79E-03,605.927
8.14E-03,629.926
8.48E-03,654.25
8.81E-03,678.247
9.14E-03,703.746
9.47E-03,729.683
9.79E-03,754.337
1.01E-02,780.921
1.04E-02,806.909
1.07E-02,831.617
1.10E-02,860.484
1.13E-02,887.164
1.16E-02,915.119
1.19E-02,941.867
1.22E-02,969.197
1.24E-02,995.326
1.27E-02,1022.465
1.30E-02,1047.892
1.33E-02,1074.919
1.35E-02,1101.163
1.38E-02,1129.476
1.40E-02,1156.468
1.43E-02,1185.389
1.46E-02,1214.747
1.48E-02,1245.118
1.51E-02,1275.843
1.53E-02,1307.697
1.56E-02,1338.871
1.58E-02,1371.155
1.61E-02,1402.698
1.63E-02,1435.482
1.66E-02,1465.759
1.68E-02,1499.324
1.70E-02,1529.877
1.73E-02,1561.757
1.75E-02,1593.364
1.78E-02,1625.592
1.80E-02,1657.123
1.82E-02,1689.97
1.85E-02,1721.98
1.87E-02,1754.831
1.89E-02,1786.075
1.91E-02,1818.991
1.94E-02,1850.394
1.96E-02,1883.236
1.98E-02,1913.499
2.00E-02,1942.514
2.02E-02,1972.847
2.05E-02,2005.838
2.07E-02,2039.646
2.09E-02,2071.963
2.11E-02,2102.924
2.13E-02,2128.979
2.15E-02,2159.222
2.17E-02,2192.056
2.19E-02,2223.973
2.21E-02,2252.721
2.23E-02,2282.273
2.26E-02,2312.484
2.28E-02,2344.179
2.30E-02,2370.304
2.32E-02,2400.61
2.34E-02,2432.776
2.36E-02,2461.412
2.37E-02,2491.692
2.39E-02,2524.039
2.41E-02,2555.004
2.43E-02,2586.622
2.45E-02,2618.344
2.47E-02,2648.179
2.49E-02,2678.637
2.51E-02,2713.214
2.53E-02,2739.267
2.55E-02,2769.494
2.57E-02,2798.204
2.59E-02,2828.8
2.61E-02,2859.371
2.62E-02,2889.959
2.64E-02,2921.976
2.66E-02,2952.134
2.68E-02,2982.798
2.70E-02,3011.885
2.72E-02,3044.214
2.73E-02,3075.683
2.75E-02,3110.413
2.77E-02,3140.225
2.79E-02,3173.816
2.81E-02,3209.353
2.82E-02,3240.234
2.84E-02,3273.333
2.86E-02,3303.667
2.88E-02,3333.191
2.89E-02,3363.303
2.91E-02,3394.275
2.93E-02,3426.159
2.95E-02,3452.723
2.96E-02,3484.14
2.98E-02,3512.69
3.00E-02,3542.369
3.01E-02,3569.603
3.03E-02,3599.05
3.05E-02,3627.25
3.07E-02,3656.696
3.08E-02,3686.175
3.10E-02,3716.363
3.12E-02,3745.915
3.13E-02,3775.394
3.15E-02,3804.875
3.17E-02,3834.351
3.18E-02,3866.72
3.20E-02,3898.197
3.22E-02,3928.517
3.23E-02,3957.313
3.25E-02,3986.1
3.27E-02,4012.081
3.28E-02,4041.604
3.30E-02,4073.109
3.31E-02,4101.08
3.33E-02,4131.178
3.35E-02,4155.472
3.36E-02,4183.321
3.38E-02,4209.525
3.39E-02,4239.938
3.41E-02,4270.516
3.43E-02,4300.373
3.44E-02,4325.744
3.46E-02,4355.173
3.47E-02,4384.619
3.49E-02,4413.74
3.50E-02,4442.33
3.52E-02,4471.779
3.53E-02,4497.971
3.55E-02,4523.973
3.56E-02,4552.572
3.58E-02,4580.71
3.60E-02,4611.069
3.61E-02,4640.268
3.63E-02,4667.443
3.64E-02,4693.415
3.66E-02,4720.949
3.67E-02,4749.684
3.69E-02,4778.005
3.70E-02,4809.024
3.72E-02,4836.538
3.73E-02,4862.5
3.75E-02,4888.427
3.76E-02,4915.052
3.78E-02,4942.235
3.79E-02,4969.761
3.81E-02,5000.135
3.82E-02,5027.937
3.84E-02,5055.747
3.85E-02,5084.16
3.87E-02,5110.098
3.88E-02,5136.724
3.89E-02,5163.859
3.91E-02,5194.739
3.92E-02,5224.699
3.94E-02,5252.517
3.95E-02,5281.29
3.97E-02,5307.145
3.98E-02,5335.275
4.00E-02,5366.002
4.01E-02,5392.921
4.03E-02,5420.417
4.04E-02,5453.451
4.05E-02,5485.098
4.07E-02,5510.962
4.08E-02,5541.98
4.10E-02,5575.293
4.11E-02,5605.037
4.12E-02,5635.762
4.14E-02,5779.025
4.15E-02,5812.616
4.17E-02,5850.245
4.18E-02,5883.184
4.19E-02,5913.88
4.21E-02,5945.347
4.22E-02,5971.199
4.24E-02,6003.429
4.25E-02,6030.55
4.26E-02,6062.881
4.28E-02,6092.757
4.29E-02,6121.984
4.30E-02,6150.965
4.32E-02,6179.744
4.33E-02,6208.139
4.35E-02,6240.446
4.36E-02,6269.54
4.37E-02,6299.334
4.39E-02,6328.789
4.40E-02,6356.206
4.41E-02,6383.029
4.43E-02,6408.883
4.44E-02,6434.706
4.45E-02,6459.983
4.47E-02,6492.653
4.48E-02,6524.715
4.50E-02,6554.739
4.51E-02,6580.228
4.52E-02,6607.675
4.54E-02,6633.519
4.55E-02,6658.373
4.56E-02,6682.938
4.58E-02,6713.258
4.59E-02,6743.416
4.60E-02,6775.048
4.61E-02,6804.423
4.63E-02,6830.258
4.64E-02,6856.099
4.65E-02,6880.658
4.67E-02,6908.422
4.68E-02,6934.58
4.69E-02,6965.852
4.71E-02,6996.264
4.72E-02,7027.422
4.73E-02,7057.437
4.75E-02,7084.251
4.76E-02,7108.148
4.77E-02,7133.348
4.78E-02,7158.533
4.80E-02,7184.037
4.81E-02,7211.834
4.82E-02,7244.175
4.84E-02,7275.934
4.85E-02,7306.252
4.86E-02,7333.037
4.87E-02,7358.838
4.89E-02,7383.994
4.90E-02,7410.422
4.91E-02,7439.837
4.92E-02,7469.239
4.94E-02,7497.343
4.95E-02,7527.033
4.96E-02,7561.212
4.98E-02,7591.694
4.99E-02,7623.76
5.00E-02,7653.482
5.01E-02,7684.128
5.03E-02,7715.8
5.04E-02,7746.499
5.05E-02,7775.934
5.06E-02,7809.128
5.08E-02,7840.786
5.09E-02,7872.861
5.10E-02,7905.079
5.11E-02,7934.744
5.13E-02,7962.883
5.14E-02,7991.726
5.15E-02,8019.554
5.16E-02,8046.784
5.18E-02,8074.682
5.19E-02,8101.526
5.20E-02,8134.12
5.21E-02,8163.872
5.22E-02,8194.85
5.24E-02,8221.705
5.25E-02,8249.602
5.26E-02,8278.807
5.27E-02,8303.963
5.29E-02,8328.789
5.30E-02,8353.884
5.31E-02,8380.013
5.32E-02,8409.01
5.33E-02,8441.6
5.35E-02,8469.015
5.36E-02,8498.384
5.37E-02,8524.928
5.38E-02,8552.38
5.39E-02,8579.045
5.41E-02,8606.763
5.42E-02,8633.862
5.43E-02,8660.645
5.44E-02,8686.074
5.46E-02,8711.221
5.47E-02,8743.862
5.48E-02,8772.655
5.49E-02,8803.018
5.50E-02,8828.64
5.52E-02,8857.005
5.53E-02,8887.914
5.54E-02,8914.698
5.55E-02,8944.35
5.56E-02,8974.131
5.58E-02,9003.819
5.59E-02,9033.481
5.60E-02,9060.552
5.61E-02,9091.889
5.62E-02,9122.782
5.63E-02,9154.06
5.65E-02,9185.278
5.66E-02,9216.262
5.67E-02,9245.947
5.68E-02,9276.912
5.69E-02,9308.47
5.70E-02,9342.937
5.72E-02,9374.957
5.73E-02,9405.228
5.74E-02,9438.69
5.75E-02,9468.409
5.76E-02,9500.84
5.77E-02,9532.078
5.79E-02,9561.022
5.80E-02,9590.336
5.81E-02,9619.971
5.82E-02,9647.114
5.83E-02,9672.29
5.84E-02,9700.624
5.86E-02,9728.514
5.87E-02,9757.49
5.88E-02,9786.459
5.89E-02,9812.332
5.90E-02,9843.758
5.91E-02,9873.79
5.93E-02,9905.738
5.94E-02,9937.315
5.95E-02,9963.462
5.96E-02,9990.667
5.97E-02,10017.727
5.98E-02,10044.189
5.99E-02,10074.068
6.01E-02,10102.657
6.02E-02,10129.708
6.03E-02,10155.809
6.04E-02,10181.858
6.05E-02,10212.473
6.06E-02,10241.894
6.07E-02,10267.332
6.09E-02,10293.397
6.10E-02,10320.912
6.11E-02,10348.937
6.12E-02,10376.372
6.13E-02,10404.673
6.14E-02,10429.453
6.15E-02,10457.457
6.17E-02,10484.797
6.18E-02,10511.876
6.19E-02,10538.267
6.20E-02,10564.69
6.21E-02,10594.637
6.22E-02,10621.402
6.23E-02,10650.606
6.24E-02,10680.549
6.26E-02,10710.474
6.27E-02,10739.439
6.28E-02,10767.516
6.29E-02,10794.56
6.30E-02,10822.363
6.31E-02,10851.374
6.32E-02,10882.429
6.33E-02,10912.667
6.35E-02,10942.357
6.36E-02,10972.774
6.37E-02,11003.827
6.38E-02,11033.442
6.39E-02,11065.003
6.40E-02,11097.247
6.41E-02,11128.25
6.42E-02,11159.119
6.43E-02,11188.398
6.45E-02,11217.464
6.46E-02,11248.18
6.47E-02,11281.62
6.48E-02,11311.88
6.49E-02,11340.246
6.50E-02,11370.225
6.51E-02,11399.542
6.52E-02,11430.463
6.53E-02,11461.067
6.54E-02,11489.179
6.56E-02,11517.258
6.57E-02,11545.917
6.58E-02,11576.717
6.59E-02,11605.099
6.60E-02,11634.142
6.61E-02,11662.563
6.62E-02,11691.615
6.63E-02,11719.414
6.64E-02,11750.596
6.65E-02,11782.229
6.67E-02,11814.497
6.68E-02,11844.216
6.69E-02,11877.384
6.70E-02,11903.888
6.71E-02,11933.275
6.72E-02,11960.406
6.73E-02,11991.13
6.74E-02,12017.692
6.75E-02,12046.201
6.76E-02,12075.731
6.77E-02,12105.135
6.78E-02,12132.283
6.80E-02,12158.784
6.81E-02,12185.643
6.82E-02,12215.12
6.83E-02,12243.102
6.84E-02,12271.07
6.85E-02,12298.506
6.86E-02,12325.705
6.87E-02,12352.26
6.88E-02,12380.719
6.89E-02,12407.889
6.90E-02,12435.701
6.91E-02,12462.317
6.92E-02,12493.218
6.94E-02,12522.479
6.95E-02,12553.621
6.96E-02,12582.075
6.97E-02,12609.86
6.98E-02,12637.762
6.99E-02,12667.563
7.00E-02,12696.134
7.01E-02,12724.68
7.02E-02,12755.084
7.03E-02,12784.471
7.04E-02,12812.975
7.05E-02,12842.115
7.06E-02,12872.522
7.07E-02,12903.356
7.08E-02,12934.019
7.10E-02,12964.761
7.11E-02,12996.24
7.12E-02,13027.885
