Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.000567,63.31,55.097,76.476,53.184,205.485,88.391,44.031,61.716
0.050000,10585.692,8364.162,11290.357,7611.227,19755.541,9496.949,7620.164,7653.482
0.100000,30066.221,27177.475,30451.042,21769.929,56274.502,27683.153,20470.512,21734.172
0.150000,53568.241,51615.753,52117.779,39069.108,100856.76,49701.68,35247.485,39093.333
0.200000,80575.437,79980.118,75888.482,58579.281,147153.083,74308.338,51500.383,58153.848
0.250000,111246.473,109663.225,101356.205,80010.806,193086.714,100088.524,68985.262,78615.795
0.300000,164970.646,153938.864,146076.086,117237.481,257821.11,142970.802,101355.496,113909.56
0.350000,215437.757,202386.766,188224.352,152652.649,322596.698,182842.504,131130.589,146921.226
0.400000,255749.078,240871.855,223692.483,182447.81,370388.239,216001.978,157231.729,174822.59
0.450000,288803.355,275198.228,256336.415,209398.042,417203.376,246505.387,180185.036,199899.009
0.500000,320695.693,307249.365,287655.775,235368.349,461298.854,275474.602,202622.022,224187.179
