Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.00100,1.117,0.894,0.71,0.729,0.974,0.729,3.065,3.1
0.00220,4.157,4.119,3.644,3.719,4.041,3.719,7.445,7.402
0.00364,4.699,4.518,4.043,4.093,4.51,4.093,8.159,8.161
0.00537,5.241,4.916,4.459,4.473,4.979,4.473,8.886,8.937
0.00744,5.781,5.315,4.879,4.853,5.449,4.853,9.617,9.68
0.00993,6.316,5.727,5.312,5.242,5.985,5.242,10.369,10.474
0.01260,6.875,6.138,5.761,5.632,6.59,5.632,13.342,11.315
0.01480,7.43,6.568,6.217,6.025,7.193,6.025,15.751,12.177
0.01670,7.983,6.98,6.67,6.425,7.73,6.425,17.568,13.009
0.01850,8.519,7.392,7.127,6.818,8.267,6.818,19.437,13.798
0.02020,9.068,7.806,7.584,7.209,8.805,7.209,20.727,14.601
0.02170,9.604,8.221,8.042,7.601,9.343,7.601,22.014,15.409
0.02320,10.182,8.635,8.505,7.995,9.882,7.995,23.293,16.209
0.02460,10.761,9.05,8.974,8.39,10.42,8.39,25.133,17.009
0.02590,11.297,9.464,9.45,8.787,10.96,8.787,26.404,17.8
0.02720,11.845,9.879,9.95,9.186,11.502,9.186,27.113,18.594
0.02840,12.457,10.294,10.399,9.578,12.041,9.578,28.98,19.386
0.02960,13.024,10.735,10.85,9.974,12.614,9.974,30.897,20.199
0.03080,13.606,11.327,11.3,10.368,13.119,10.368,32.145,20.964
0.03190,14.131,11.8,11.728,10.752,13.658,10.752,33.447,21.759
0.03300,14.749,12.268,12.168,11.141,14.197,11.141,36.445,22.562
0.03410,15.54,12.749,12.628,11.54,14.802,11.54,37.759,23.457
0.03510,16.293,13.218,13.063,11.932,15.375,11.932,39.675,24.308
0.03610,16.9,13.686,13.486,12.315,15.881,12.315,41.539,25.086
0.03700,17.478,14.129,13.915,12.7,16.42,12.7,42.868,25.878
