Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
1,17.46,69.67,7.82,7.14,15.82,8.39,8.43,8.75
2,48.78,125.28,32.49,30.86,43.57,33.03,33.66,33.08
3,54.65,131.16,36.78,34.58,49.70,37.17,37.09,36.99
4,62.12,156.55,41.43,38.51,58.19,41.72,42.61,41.34
5,68.68,162.85,46.09,42.25,64.96,45.86,46.01,45.48
6,75.07,167.96,50.86,46.03,71.74,50.00,51.52,49.63
7,81.33,172.83,55.63,49.74,78.53,54.17,57.00,53.67
8,87.30,177.57,60.34,53.42,84.98,58.51,62.50,57.76
9,93.37,182.17,65.01,57.08,91.11,62.67,67.98,61.76
10,99.35,186.77,69.65,60.84,97.23,66.81,73.49,65.80
11,105.23,191.38,74.28,64.48,103.36,70.94,79.04,69.81
12,111.20,195.99,78.97,68.13,109.23,75.09,84.77,73.79
13,117.28,200.59,83.60,71.77,115.03,79.23,90.30,77.83
14,123.32,205.20,88.25,75.39,120.83,83.36,95.75,81.79
15,129.34,209.81,92.90,79.04,126.64,87.50,101.24,85.73
16,135.31,214.48,97.57,82.65,132.51,91.64,106.74,89.69
17,141.45,219.09,102.23,86.33,138.64,95.79,112.27,93.70
18,148.13,224.11,106.90,90.04,145.42,99.93,115.71,97.80
19,154.08,230.03,111.44,93.70,151.24,104.08,119.14,101.78
20,160.11,234.64,115.95,97.40,157.37,108.22,122.58,105.81
21,166.45,239.58,120.72,101.33,165.13,112.78,128.21,110.16
22,173.14,247.07,125.31,105.03,171.92,116.93,131.64,114.32
23,179.59,253.37,129.81,108.72,178.05,121.07,135.11,118.33
24,187.11,264.89,134.43,112.53,185.82,125.64,140.64,122.70
25,194.53,280.09,139.16,116.36,193.60,130.20,146.23,127.00
26,200.49,286.02,143.59,119.95,199.09,134.35,149.67,130.90
27,208.15,300.34,148.33,123.81,206.54,138.92,155.17,135.19
28,215.78,323.99,153.15,127.75,214.63,143.49,160.69,139.56
29,222.84,338.72,157.84,131.47,221.41,147.64,166.25,143.71
30,230.46,348.90,162.61,135.41,229.19,152.21,171.77,148.08
31,241.55,388.08,167.39,139.37,238.37,156.82,177.30,152.58
32,246.45,392.98,172.16,143.30,246.46,161.39,182.81,157.01
33,251.45,396.66,179.44,147.28,254.24,166.39,188.36,161.34
34,256.43,400.21,184.21,151.16,261.74,170.97,193.85,165.58
35,261.33,403.75,188.99,155.01,268.85,175.55,199.41,169.81
36,266.44,407.30,193.67,158.87,276.94,180.18,204.93,174.18
37,272.81,410.85,198.30,162.65,283.16,184.38,208.37,178.27
38,279.99,414.47,203.14,166.56,290.60,188.96,214.06,182.66
39,287.17,417.89,207.68,170.27,297.38,193.53,217.76,186.79
40,295.03,421.44,212.36,174.13,305.78,198.12,223.33,191.28
41,302.57,425.13,217.14,178.10,314.84,202.70,228.95,195.85
42,307.52,428.68,221.91,181.86,321.62,206.95,234.52,200.01
43,312.33,432.37,226.66,185.84,331.03,211.95,240.05,204.65
44,317.17,436.06,231.44,189.82,339.44,216.54,245.61,209.21
45,321.99,439.81,236.22,193.71,346.88,221.12,251.26,213.55
46,326.52,443.23,240.62,197.41,353.34,225.71,254.71,217.70
47,331.37,446.93,245.30,201.27,362.08,230.71,260.29,222.28
48,336.20,450.62,250.09,205.24,369.53,235.30,265.81,226.65
49,341.18,454.45,254.88,209.09,376.64,239.89,271.35,230.86
50,346.11,458.15,259.67,213.06,385.20,244.48,276.93,235.36
51,353.82,461.84,264.44,217.01,393.62,249.07,282.52,239.88
52,361.36,465.54,269.23,220.96,401.39,253.66,288.05,244.25
53,368.53,469.24,274.02,224.84,408.65,258.28,293.59,248.52
54,375.91,472.81,278.60,228.59,416.09,262.88,299.10,252.90
55,383.48,476.51,283.27,232.44,424.50,267.46,304.68,257.46
56,391.17,480.34,288.06,236.57,433.24,272.05,310.18,261.99
57,398.34,484.04,292.86,240.52,440.36,276.65,315.73,266.20
58,404.25,487.74,297.26,244.22,446.83,280.91,319.19,270.33
59,409.05,491.57,302.05,248.13,455.56,285.94,324.77,274.92
60,413.95,495.27,307.07,252.10,463.32,290.54,330.34,279.28
61,418.80,498.97,311.94,256.03,470.76,295.13,335.87,283.60
62,423.50,502.66,316.73,259.94,477.88,299.30,341.42,287.84
63,429.22,506.36,321.21,263.61,484.67,303.47,344.88,291.93
64,436.86,510.20,326.00,267.50,493.41,308.48,350.46,296.47
65,441.77,514.11,330.99,271.47,501.17,313.08,356.19,300.86
66,446.68,517.96,335.79,275.40,508.08,317.67,361.98,305.02
67,451.41,521.66,340.49,279.22,514.87,321.84,367.51,309.29
68,456.22,525.36,344.90,282.89,520.37,326.01,370.96,313.47
69,461.17,529.20,349.69,286.93,528.46,331.19,376.54,318.00
70,466.07,532.91,354.56,290.87,536.63,335.83,382.15,322.50
71,470.89,536.61,359.36,294.79,544.07,340.42,387.94,326.95
72,475.57,540.32,364.02,298.61,550.87,344.59,391.40,331.18
73,481.15,544.02,368.41,302.31,556.69,348.76,394.95,335.23
74,488.49,547.58,373.11,306.15,564.13,353.36,400.78,339.63
